ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Se vende piso amplio de unos 150m2 útiles en primera línea de playa de Zarautz, con una ubicación sin igual, con vistas a la playa de Zarautz y totalmente orientado al sur. Actualmente consta de 3 habitaciones con armarios empotrados, 2 baños, una gran cocina-comedor y un salón-comedor (50m2) con unas vistas idílicas a la playa y al camping de Zarautz. La habitación principal, con un baño incorporado y vestidor, posee una salida a un balcon cerrado, al igual que el salón-comedor y la cocina. Además, posee un trastero y un garaje doble cerrado. Posibilidad de garaje simple abierto en el mismo edificio.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,1,,,33447430,Piso,,1,Zarautz,"Calle mendilauta, 11"," Calle mendilauta, 11 , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",150,,2019-04-01,sur,986000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,81534159,Piso,,1,Orio,"Calle Abaromendi, 39"," Calle Abaromendi, 39 , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",86,,2019-04-01,,450000,0,2,0,0,1,
"Se vende piso en Zarautz, calle indamendi nº10. Bonito piso recién reformado muy soleado con orientación Sur-Este. Cerca de todo pero en una zona tranquila. Sin mucha gente, ni jaleo y a un paso del Eroski, polideportivo, colegios Totalmente reformado (Instalación Gas, instalación eléctrica, ventanas pvc, puertas). Impecable, para entrar a vivir. Con bonito trastero en la parte baja del edificio. 3 habitaciones, dos habitaciones exteriores soleadas y una habitación a un patio interior de menor tamaño. Dispone de un amplio baño. ROBERTO. 687435112 puedo mandar más fotos por whatsaap.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 2ª interior,,1,,,39187996,Piso,,1,Zarautz,"Calle Indamendi, 10"," Calle Indamendi, 10 , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",83,73,2019-04-01,"sur, este",310000,0,3,1,0,1,
"Se vende piso de VPO con trastero y plaza de garaje construido en 2008. Consta de 3 habitaciones, dos cuartos de baño (uno con plato de ducha y otro con bañera) y cocina americana-salón-comedor. Zona exterior habilitada para tender la ropa y con toma de agua y luz para instalar en dicha instancia la lavadora-secadora. Suministro de agua caliente sanitaria y calefacción: Gas natural. Caldera en exterior. Suelo de parqué. Amplio trastero ubicado en la cuarta planta del edificio (bajo cubierta) al cual se puede acceder en ascensor: 11,39 m2. Plaza de garaje ubicada bajo el edificio: 16,52 m2. Muy soleado.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,1,,,38980680,Piso,,1,Zestoa,"Calle Arteaga, 10"," Calle Arteaga, 10 , Zestoa , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",88,74,2019-04-01,"sur, oeste",148400,0,3,1,0,0,
"VILLA BORINQUEN,Untzain bidea sn. Villa afincada en Zarautz costruida en piedra que consta de 3 habitaciones, 3 baños gran salón con enormes cristaleras de 4x2m y vistas al mar, con casa prefabricada adosada en la terraza, pista de tenis. y 10. 000m2 de terreno. Playa a un kilometro. Garaje. Amueblado. Trastero. Terraza. Calefacción. Piscina. Jardín. CE: E.",más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,0,,,38090381, Casa o chalet independiente,,,Zarautz,"Elkano Auzoa, 801"," Elkano Auzoa, 801 , Zarautz , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",10000,,2019-04-01,,850000,0,3,1,0,1,
"Piso de nueva construcción, entregado en diciembre de 2017. Suelo radiante, 2 habitaciones, 1 baño, cocina a medida y a capricho. Para entrar sin gastar un solo euro. Garaje cerrado. Tenderete y lavadora en el balcón.",Anuncio actualizado el 25 de marzo,0,1,1,1,0,segunda mano/buen estado,2017,,planta 1ª exterior,plaza de garaje incluida en el precio,0,,no dispone de calefacción,82187712,Piso,,1,Orio,"Calle Ixarra, 6"," Calle Ixarra, 6 , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",65,60,2019-04-01,norte,295000,1,2,0,0,1,
,Anuncio actualizado el 31 de marzo,0,0,1,0,0,segunda mano/para reformar,,no indicado,bajo exterior,,0,,,81842384,Piso,,0,Aizarnazabal,"Arantzazu Etxe-Taldea Etxetaldea, 1"," Arantzazu Etxe-Taldea Etxetaldea, 1 , Aizarnazabal , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",75,,2019-04-01,,190000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,82491143,Piso,,1,Orio,"Calle Aita Lertxundi, 4"," Calle Aita Lertxundi, 4 , Orio , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",66,,2019-04-01,,280000,0,3,1,0,1,
"Piso reformado, totalmente exterior y muy soleado. Los gastos de comunidad son 200€ al año.",Anuncio actualizado el 24 de marzo,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 5ª exterior,,0,,,81545905,Piso,,0,Azkoitia,"Urrategi Errepidea Errepidea, 2 TokiEderIzq"," Urrategi Errepidea Errepidea, 2 TokiEderIzq , Azkoitia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",90,85,2019-04-01,,90000,0,3,0,0,0,
piso para reformar pero muy amplio con tres balcones que dos dan bahía de Zumaia con buenas vistas. tiene un desván con proyectos de habitabilidad si se modifican las exigencias del ayuntamiento tiene 50mcuadrados útiles desván. negociable.,Anuncio actualizado el 11 de noviembre,0,1,2,0,0,segunda mano/para reformar,,no indicado,planta 2ª exterior,,0,,,82645750,Piso,,1,Zumaia,"etxezarreta, 23"," etxezarreta, 23 , Zumaia , Urola Kosta, Guipúzcoa ",,,"Urola Kosta, Guipúzcoa",105,100,2019-04-01,"norte, sur",390000,0,4,0,0,0,
