ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Piso 75 m2 Útiles, 2 dormitorios, amplio salón, baño, generosa cocina totalmente equipada, suelos de gres, exterior, terraza, muy luminoso, altura de 1ª planta s/ascensor, trastero. centro urbano de Sta. Comba- A Coruña.",Anuncio actualizado el 10 de abril,0,0,1,0,0,segunda mano/buen estado,1991,en trámite,planta 1ª,,0,,,82330527,Piso,,,Santa Comba,," , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",75,,2019-04-13,,65000,0,2,1,0,1,
"casa independiente en una aldea, provincia de A Coruña, totalmente reformada.",Anuncio actualizado el 25 de febrero,0,0,2,0,0,segunda mano/buen estado,,en trámite,2 plantas,plaza de garaje incluida en el precio,0,,,31923749, Casa o chalet independiente,,,Santa Comba,grixoa s/n," grixoa s/n , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",100,80,2019-04-13,este,80000,0,3,1,0,1,
"cocina grande con office, salon comedor, muy lulminoso, con bajo comercial alquilado.",Anuncio actualizado el 17 de enero,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,33491235, Casa de pueblo,,,Mazaricos,"Ronda progreso, 9"," Ronda progreso, 9 , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",156,,2019-04-13,,240405,0,4,1,0,1,
"Avenida Mourelle. Piso de 140 m2 distribuidos en 4 habitaciones, 2 baños, salón-comedor enorme, cocina totalmente equipada, 2 galerías y un recibidor enorme para salita. Trastero de 20m2. El piso está sin usar y no tiene ascensor.",Anuncio actualizado el 24 de marzo,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,36486730,Piso,,0,Santa Comba,"Camino Mourelle, 54"," Camino Mourelle, 54 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",140,139,2019-04-13,,50000,0,4,1,0,0,
"distribución:, terraza descubierta de 25 m2, la casa dispone de:,portero automático",Anuncio actualizado el 21 de enero,0,0,3,1,0,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,0,,,2175891, Chalet adosado,,,Santa Comba,Urb. as cerdeiras," urbanización das Cerdeiras, 12 , Urb. as cerdeiras , Santa Comba , Xallas, A Coruña ","urbanización das Cerdeiras, 12",,"Xallas, A Coruña",247,,2019-04-13,,100000,0,5,0,0,1,
"pino de val, mazaricos vende en la calle da igrexa piso de 100 m²,, distribuidos en 3 dormitorios, salón, 2 baños y cocina totalmente equipada. ,Ubicado en la 2ª planta sin ascensor, exterior. Tiene doble ventana de pvc blanco., El estado del inmueble esta par entrar a vivir. Situado en una zona con colegio.,A 20 minutos de la playa.",Anuncio actualizado el 10 de abril,0,0,2,0,0,segunda mano/buen estado,,,planta 2ª exterior,,0,,,40386250,Piso,,0,Mazaricos,Calle da Igrexa s/n," Calle da Igrexa s/n , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",100,95,2019-04-13,,62000,0,3,0,0,0,
"Casa con finca de 1. 500m2 urbanizables. Bajo de 130m2. Primera planta: cocina, salón, dos baños y cuatro habitaciones. Amueblada. Totalmente rehabilitada. Entorno rural, a 25 min de diversas playas. Garaje. Trastero. Balcón. Calefacción. Jardín.",Anuncio actualizado el 4 de noviembre,0,1,2,0,0,segunda mano/buen estado,,,,plaza de garaje incluida en el precio,1,,,82233507, Casa o chalet independiente,,,Santa Comba,"Calle Vello de Mourelle, 53"," Calle Vello de Mourelle, 53 , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",1500,,2019-04-13,,160000,0,4,1,0,0,
"OPORTUNIDAD! vivienda con magnífico terreno en centro casco urbano con todos los servicios, farmacia, colegio... y a tan solo 17 km de Muros, de Carnota y las playas. Vivienda de dos plantas con dos puertas de entrada, planta baja con cocina, aseo y habitación-comedor y a parte anexo con posibilidad de local-negocio. Se aceptan ofertas.",Anuncio actualizado el 7 de abril,0,1,2,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,82581468, Casa o chalet independiente,,,Mazaricos,PINO DE VAL s/n," PINO DE VAL s/n , Mazaricos , Xallas, A Coruña ",,,"Xallas, A Coruña",1137,200,2019-04-13,,125000,0,5,1,0,0,
"La casa también dispone de un terreno amplio para los cultivos y un trastero donde se puede almacenar la madera para la cheminea. Está amueblada y dispone de 3 habitaciones, 1 cuarto de baño, un comedor y una cocina. Se encuentra a 5 minutos del concello de Santa Comba.",Anuncio actualizado el 25 de marzo,0,0,1,0,1,segunda mano/buen estado,,no indicado,2 plantas,,0,,,84635602, Casa de pueblo,,,Santa Comba,Urb. Santa Comba," Guisande s/n , Urb. Santa Comba , Santa Comba , Xallas, A Coruña ",Guisande s/n,,"Xallas, A Coruña",120,,2019-04-13,sur,27000,0,3,1,0,0,
"Se vende preciosa casa rural, con horreo, pallal e finca cerrada. Dispone de terreno de 1000mm2.,Excelente estado... Con caleffacion estufa de leña y cocina economica.",Anuncio actualizado el 7 de abril,0,1,3,1,1,segunda mano/buen estado,,no indicado,2 plantas,,1,,,84809340, Casa rural,,,Santa Comba,Vilarnovo s/n," Vilarnovo s/n , Santa Comba , Xallas, A Coruña ",,,"Xallas, A Coruña",1000,200,2019-04-13,,225000,0,4,0,0,0,
