ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Junto a la escuela oficial de idiomas, tres terrazas que suman unos 60 metros cuadrados a la superficie de la vivienda. actualmente alquilada.",Anuncio actualizado el 24 de marzo,1,0,2,1,0,segunda mano/buen estado,,,planta 3ª exterior,plaza de garaje incluida en el precio,1,,,82699215,Dúplex,,1,Pinto,Distrito Teneria i - Teneria Ii," Avenida de Antonio López, 1 , Distrito Teneria i - Teneria Ii , Pinto , Zona sur, Madrid ","Avenida de Antonio López, 1",,"Zona sur, Madrid",110,95,2019-04-12,"este, oeste",500000,0,4,0,0,1,
"Crown & Wells ofrece una fantástica oportunidad de inversión, se trata de un piso situado enfrente del Ambulatorio, a un paso del Egido, la Iglesia y la zona comercial y de ocio más destacada del municipio.,Características,Piso de 96m2 distribuidos en 3 dormitorios amplios, baño, cocina y salon independiente con acceso a terraza con magnificas vistas al Paseo Dolores Soria. Necesita actualización. ,Para más información, fotografías y visitas no duden en contactar con nosotras,Rosi 679518117,Lidia 665546410.",Anuncio actualizado el 6 de marzo,0,1,1,0,0,segunda mano/buen estado,,,planta 2ª exterior,,0,,,84563426,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",96,,2019-04-12,,117800,0,3,0,0,1,
"Crown & Wells gestiona la venta y presentamos un fabuloso apartamento ubicado en el centro del municipio de Pinto, zona tranquila y silenciosa con zonas verdes en las inmediaciones y a tan solo 3 minutos de la Estación de Renfe, a un precio INMEJORABLE.,CARACTERÍSTICAS,El apartamento exterior muy luminoso, se trata de una primera planta con solo dos tramos de escaleras. Cuenta con dormitorio, baño completo con hidromasaje vertical y bañera, cocina equipada con electrodomésticos en perfecto estado, suelos de cerámica, ventanas de climalit con toldos instalados, Armarios empotrados vestidos y muy amplios, Calefacción eléctrica y Aire acondicionado con bomba de calor, Se entrega amueblado ¡listo para entrar a vivir,Para más información y visitas, contacte con nosotros estamos encantados de atenderle,Lidia 665546410,Rosi 679518117.",Anuncio actualizado el 27 de marzo,1,0,1,1,0,segunda mano/buen estado,,,planta 1ª exterior,,0,,calefacción individual: eléctrica,84562427,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," Plaza de Vaquerizo, Pinto , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Plaza de Vaquerizo, Pinto",,"Zona sur, Madrid",58,,2019-04-12,,105700,0,1,0,0,0,
,Anuncio actualizado el 10 de abril,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,85007763,Piso,,1,Pinto,Distrito Parque Europa - Los Pitufos," Avenida de Europa, 1 , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ","Avenida de Europa, 1",,"Zona sur, Madrid",75,,2019-04-12,,150000,0,2,0,0,0,
"Amplio y luminoso piso con la mejor ubicacion de Pinto, cerca de estación de tren, bus, colegios, tiendas, etc. Precioso parque central de la localidad a 20m del domicilio.,3 dor. ,Cocina amplia con gran terraza tendedero.,1 baño con plato de ducha.,Salón muy luminoso,Terraza ,2 armarios empotrados.",Anuncio actualizado el 11 de marzo,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81464369,Piso,,0,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",90,89,2019-04-12,este,147900,0,3,0,0,1,
"Bajo de 3 dormitorios. Salón independiente. 2 baños completos. Cocina amueblada con salida a tendedero. Ascensor. Suelos de tarima, calefacción eléctrica.,Con este piso te olvidarás de los problemas de aparcamiento puesto que cuenta con 1 plaza de garaje.,Nosotros te ayudamos a encontrar la mejor financiación sin cobrarte nada. Si quieres verlo solo tienes que LLAMARNOS.",Anuncio actualizado el 1 de marzo,0,0,2,0,0,segunda mano/buen estado,,en trámite,bajo exterior,plaza de garaje incluida en el precio,0,,calefacción individual: eléctrica,83305206,Piso,,1,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",98,,2019-04-12,,187500,0,3,0,0,0,
Parcela de 130 m sobre la que hay edificada una vivienda de 1 planta con 79 metros. Ideal para edificar una vivienda unifamiliar o edificio de apartamentos. Excelente situación. Frente al Centro Comercia Plaza Eboli.,Anuncio actualizado el 13 de febrero,0,0,1,0,0,segunda mano/para reformar,,en trámite,,,0,,,84263555, Chalet adosado,,,Pinto,Distrito Puerta Pinto - Valparaíso," Urb. SAN MARTIN , Distrito Puerta Pinto - Valparaíso , Pinto , Zona sur, Madrid ",Urb. SAN MARTIN,,"Zona sur, Madrid",130,,2019-04-12,,162500,0,3,0,0,0,
"casa 45 años para vvir, reformar o construir pisos, distribución:, terraza descubierta de 40 m2, la casa dispone de:,portero automático.",Anuncio actualizado el 18 de noviembre,1,0,1,1,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,1888708, Casa o chalet independiente,,,Pinto,Distrito Parque Europa - Los Pitufos," Calle Cardenal Cisneros, 2 , Urb. calle perales , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. calle perales,"Calle Cardenal Cisneros, 2","Zona sur, Madrid",187,,2019-04-12,sur,600000,0,3,1,0,1,
,Anuncio actualizado el 11 de marzo,1,0,1,1,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,calefacción individual: eléctrica,1648290,Piso,,0,Pinto,Distrito Centro - Ayuntamiento," Paseo Dolores Soria, 5 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Paseo Dolores Soria, 5",,"Zona sur, Madrid",60,,2019-04-12,norte,185000,0,2,0,0,0,
"Piso de 3 dormitorios y 1 baño totalmente reformado. Con calefacción y aire acondicionado. Se entrega con cocina amueblada y electrodomésticos. Plaza de garaje opcional. Situado en planta primera. Junto al Parque Egido, comercios, supermercados, colegios.. . A 5 minutos de la estación de Renfe. Sin Comisión para el comprador. Gestionamos su préstamo gratis.",Anuncio actualizado el 13 de febrero,1,0,1,1,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,,0,,,81303652,Piso,,0,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,,"Zona sur, Madrid",74,,2019-04-12,,156000,0,3,0,0,0,
