ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Se vende piso en Autonomía, muy cerca de la Plaza San Francisco Javier, en un buen edificio de hormigón y con orientación sur, calefaccion y agua caliente central. Dispone de 105 metros útilles, con tres habitaciones, salón amplio, cocina equipada y dos baños. Necesita actualizar, aunque está en buen estado de conservación. Las ventanas son de doble cristal. El ascensor del edificio está instalado a cota cero. Está situado cerca de todos los servicios, supermercados, ambulatorios, y medios de transporte. En el precio va incluido un pequeño camarote. No lo dejes pasar y date prisa!",Anuncio actualizado el 14 de febrero,0,0,2,1,0,segunda mano/para reformar,1965,en trámite,planta 5ª exterior,,0,,,81349523,Piso,,1,Bilbao,Distrito Indautxu," Autonomia , Barrio Zona Indautxu , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Zona Indautxu,Autonomia,"Gran Bilbao, Vizcaya",120,105,2019-03-31,sur,335000,0,3,1,0,0,
"Inversor-comprador:,Te presentamos la oportunidad de acceder a una vivienda excepcional, en el centro urbano y comercial y una de las zonas residenciales más señoriales de la capital vizcaína con mayor valor añadido de Bilbao, situada junto a Gran Vía y el parque de Doña Casilda. ,Si buscas Exclusividad, Posicionamiento y Rentabilidad para tu inversión, está es la vivienda que estás buscando. ,Extraordinaria vivienda, situada en un edificio señorial construido en hormigón en la década de los setenta, en una zona céntrica y residencial de Bilbao. ,En 198 m2 útiles, de los 210 metros cuadrados construidos y muy bien distribuidos, la vivienda dispone de hall recibidor, un amplio salón-comedor totalmente exterior, con acceso a terraza; cinco habitaciones, tres de ellas a fachada y una de ellas con acceso a una segunda terraza, más amplia cocina con office, un segundo baño con ducha y un aseo. ,La habitación principal dispone de un baño completo incorporado. ,Además, la vivienda dispone de zona de lavadero y sala de plancha con aseo y montacargas con acceso directo. ,Calefacción y agua caliente centrales. Portal adaptado, con silla elevadora para minusválidos o personas con poca movilidad. ,Zona muy bien comunicada, junto a parada de metro, buses y acceso a autovía. ,Interesados ponerse en contacto con Juan Manuel Gutiérrez, que les informará personalmente. 629427281.",Anuncio actualizado el 14 de febrero,0,0,3,1,0,segunda mano/para reformar,1970,,planta 5ª exterior,,0,,calefacción central: gas,82353360,Piso,,1,Bilbao,Distrito Indautxu," MARÍA DIAZ DE HARO , Barrio Sabino Arana-Jesuitas , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Sabino Arana-Jesuitas,MARÍA DIAZ DE HARO,"Gran Bilbao, Vizcaya",210,195,2019-03-31,este,795000,1,5,0,0,1,
"Inmobiliaria CAMPUZANO vende piso en Estraunza, Indautxu, exterior, orientación sur.,Reformado con acabados de lujo, está distribuido en cinco amplias habitaciones, tres baños, salón comedor, sala de estar, cocina, hall y terraza, y dos entradas independientes.,Edificio de hormigón con dos ascensores.,La comunidad incluye servicio de conserje, recogida de basuras, la calefacción, que es central con contadores individuales, agua fría y caliente.,El precio incluye parcela de garaje para coche grande.",Anuncio actualizado el 30 de enero,0,0,3,1,0,segunda mano/buen estado,,,planta 2ª exterior,plaza de garaje incluida en el precio,0,,calefacción central,84088534,Piso,,1,Bilbao,Distrito Indautxu," Estraunza , Barrio Campuzano , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Campuzano,Estraunza,"Gran Bilbao, Vizcaya",280,232,2019-03-31,sur,1290000,0,6,0,0,1,
"Inmobiliaria CAMPUZANO vende piso para reformar en Gran Vía, junto a Moyua, en el Edificio de Sota.,Es exterior, con balcón con arcos y columnas, dos ventanales, con vistas a la Gran Via. ,Consta de cuatro dormitorios, todos con baño completo, armarios empotrados o vestidores, más dormitorio de servicio, con otro baño, salón comedor amplio y cocina office.,Dos puertas de entrada y dos ascensores.,El piso incluye garaje de acceso directo y trastero.,Se trata de un edificio con servicio de seguridad las 24 horas, conserje, agua y calefacción centrales y aire acondicionado.,El Edificio de Sota, edificio representativo y emblemático del Ensanche bilbaíno, diseñado a principios del S. XX por el arquitecto Manuel María Smith. Su estructura de hormigón armado, sus impresionantes muros de piedra y su magnífica fachada, hacen del Edificio Sota uno de los más sobresalientes de la arquitectura en la capital vizcaína, auténtico monumento oficialmente reconocido.,Situado en la Gran Vía de Bilbao, a escasos metros de la Plaza Moyúa, el Edificio Sota está perfectamente comunicado, tanto en vehículo privado como en transporte público.",Anuncio actualizado el 27 de febrero,1,1,5,1,0,segunda mano/para reformar,,en trámite,planta 4ª exterior,plaza de garaje incluida en el precio,0,,calefacción central,84115040,Piso,,1,Bilbao,Distrito Indautxu," Gran Vía de Don Diego López de Haro , Barrio Campuzano , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Campuzano,Gran Vía de Don Diego López de Haro,"Gran Bilbao, Vizcaya",223,,2019-03-31,,1850000,0,5,1,0,0,
"Fincas Peña Bilbao le ofrecemos un piso con ascensor en Dr. Areilza junto a Jesuitas, ideal para ponerlo a su gusto ya que, está para hacer una reforma integral, le mostramos algunas imagenes de una posible reforma en 3 dimensiones, sobre la distribución del piso. Aunque el piso es interior, está orientado a un amplio patio de manzana y una buena altura lo que le hace totalmente luminoso. Su distribución actual se distribuye en 3 habitaciones, amplio salón, cocina y baño. El piso tiene integrado la calefacción de gas y agua caliente individual. Además dispone de un práctico trastero comunitario. Un piso ideal para vivir en el mismo centro de la villa.",Anuncio actualizado el 20 de marzo,0,0,1,0,0,segunda mano/para reformar,,en trámite,planta 6ª interior,,0,,,84378604,Piso,,1,Bilbao,Distrito Indautxu," Dr. AREILZA , Barrio Zona Indautxu , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Zona Indautxu,Dr. AREILZA,"Gran Bilbao, Vizcaya",85,80,2019-03-31,,390000,0,3,0,0,0,
"INDAUTXU, vivienda EXTERIOR, muy luminosa ubicada en un EDIFICIO de 35 años de antiguedad, con una PARCELA de GARAJE de ACCESO DIRECTO, para vehìculo grande, incluida en el precio. Se distribuye en: Hall, 3 Amplios Dormitorios, todos ellos con armarios empotrados, 3 Baños completos,,uno de ellos està incorporado en el Dormitorio principal, cocina-office grande, y precioso salòn comedor con amplios ventanales. Tiene agua caliente y calefacciòn de gas individual.",Anuncio actualizado el 8 de marzo,0,0,3,1,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,0,,calefacción individual: gas natural,39436728,Piso,,1,Bilbao,Distrito Indautxu," , Barrio Sabino Arana-Jesuitas , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Sabino Arana-Jesuitas,,"Gran Bilbao, Vizcaya",150,,2019-03-31,,505000,0,3,0,0,0,
"¡FINCAS DEL HOYO! vende amplio piso con muchas posibilidades en la mejor calle de Bilbao. Al lado de la mejor zona comercial de la Villa. Ven a verlo sin compromiso y si te gusta, del precio ya hablaremos.",Anuncio actualizado el 20 de febrero,0,0,3,0,0,segunda mano/buen estado,,en trámite,planta 7ª exterior,,0,,,39658898,Piso,,1,Bilbao,Distrito Indautxu," Gran Vía don Diego López de Haro , Barrio Campuzano , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Campuzano,Gran Vía don Diego López de Haro,"Gran Bilbao, Vizcaya",235,230,2019-03-31,,1100000,0,6,0,0,0,
"Precioso piso exterior para actualizar en la Plaza del Sagrado Corazón.,Tiene 5 habitaciones más la de servicio, 4 baños, hall de entrada cocina con office y gran salón comedor.,Trastero comunitario y parcela de garaje directo, incluidos en el precio.",Anuncio actualizado el 28 de enero,0,1,4,1,0,segunda mano/buen estado,,en trámite,planta 5ª exterior,plaza de garaje incluida en el precio,0,,calefacción central: gas,39904649,Piso,,1,Bilbao,Distrito Indautxu," Sabino Arana , Barrio Sabino Arana-Jesuitas , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Sabino Arana-Jesuitas,Sabino Arana,"Gran Bilbao, Vizcaya",270,255,2019-03-31,oeste,800000,0,6,0,0,0,
"Indautxu, junto al metro, precioso Duplex a estrenar. Situado en la zona más céntrica y comercial de Bilbao, en la calle Ercilla. Se encuentra en una zona peatonal y junto a la boca de metro de Indautxu y muy pròxima a la Plaza Moyua de la Gran Vìa de Bilbao. La vivienda ha sido totalmente reformada,con acabados de alta calidad, dispone de domótica y aire acondicionado. La distribuciòn se compone ,de la siguiente forma: en la planta baja, entramos por un gran recibidor con gabanero, desde el que se accede a un gran salòn comedor de 75 m2 con grandes ventanales y una cocina office de 30 m2, con una gran isla central, que a su vez dà acceso a la zona de lavadero y plancha. En esta planta tambièn disponemos de un precioso aseo. A la planta superior se accede por una gran escalera de roble con una preciosa balaustrada, eje central de la vivienda. En esta planta hay 4 amplios dormitorios, todos ellos con baño incorporado y amplísimos armarios empotrados. La vivienda es interior a grandes patios de manzana recibiendo muchísima luz natural por su orientaciòn y altura. La vivienda se encuentra en una finca moderna que dispone de todos los servicios y con posibilidad de garaje con acceso directo.",Anuncio actualizado el 8 de marzo,1,1,5,1,0,segunda mano/buen estado,,,planta 7ª interior,,0,,,40428025,Dúplex,,1,Bilbao,Distrito Indautxu," , Barrio Zona Indautxu , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Zona Indautxu,,"Gran Bilbao, Vizcaya",295,285,2019-03-31,,810000,0,4,0,0,0,
FINCAS DEL HOYO! Vende piso céntrico en un buen edificio con 4 habitaciones gran salón cocina y 3 baños con ascensor calefacción y garaje opcional. Ven a verlo sin compromiso y si te gusta seguro que llegamos a un acuerdo.,Anuncio actualizado el 30 de noviembre,0,1,3,1,0,segunda mano/buen estado,,en trámite,planta 5ª exterior,,0,,calefacción individual: gas natural,81727089,Piso,,1,Bilbao,Distrito Indautxu," Autonomía , Barrio Alhondiga , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Alhondiga,Autonomía,"Gran Bilbao, Vizcaya",141,140,2019-03-31,,450000,0,4,1,0,1,
"Exclusivo ático de lujo en Indautxu. Està ubicado junto al Colegio Jesuitas, està totalmente reformado. Este precioso ático de arquitectura singular, dispone de grandes zonas de estar y ocio, con una superficie destinada para estos usos, de 200 m2. La zona de diario cuenta con más de 100 m2 distribuidos en tres zonas bien diferenciadas. La primera de ellas, la màs amplia, es una zona de reunión-estar-tv separada de la segunda zona de biblioteca y relax, por una preciosa chimenea y escalera, que da acceso al gimnasio, el cual dispone de sauna. La tercera de estas zonas de diario es una sala multiusos (=sala de juegos, comedor de diario, mùsica, . ) comunicada con la primera y principal, por una gran puerta-ventanal.,A la zona principal y formal de la vivienda, de otros 100 m2, entramos por un precioso recibidor desde el que se accede a dos magníficos salones, con dos ambientes bien distinguidos, el primero de ellos cuenta con una espectacular chimenea y altisimos techos y el segundo mas orientado al relax y la lectura dispone de bliblioteca. Igualmente desde el recibidor, accedemos directamente al imponente comedor principal con un impresionante ventanal de más de 8 metros lineales y de unos 30 m2.,El dormitorio principal que en su conjunto tiene una superficie superior a los 50 m2 cuenta con 2 baños independientes, de unos 9 m2 cada uno, ademas de vestidor y 3 armarios empotrados, asì como un pequeño despacho. Cuenta con otros 3 amplios dormitorios con armarios empotrados y otro baño completo y un despacho o 5º dormitorio. La cocina cuenta con una zona de almacenaje y lavadero independiente.,La vivienda cuenta con una parcela de garaje de acceso directo, cerrada, para 2 coches grandes y trastero o zona de almacenaje. ,Ademas dispone de un precioso txoko privado, independiente, en el mismo edificio, totalmente equipado, de unos 70 m2, para celebraciones familiares, de negocios, ocio, etc.",Anuncio actualizado el 7 de marzo,1,0,3,1,0,segunda mano/buen estado,1980,en trámite,planta 6ª exterior,plaza de garaje incluida en el precio,0,,calefacción individual: gas natural,40431506,Ático,,1,Bilbao,Distrito Indautxu," , Barrio Sabino Arana-Jesuitas , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Sabino Arana-Jesuitas,,"Gran Bilbao, Vizcaya",460,,2019-03-31,sur,1870000,0,5,1,0,0,
"Piso en venta en Indautxu, zona Sabino Arana, para actualizar. El piso consta de 186 m2 aproximadamente y está distribuido en 4 habitaciones (dos con armarios empotrados y la principal con terraza, vestidor y baño incorporado), gran salón comedor,  cocina equipada en buen estado, 2 baños en buen estado, distribuidor con armario empotrado y hall. Tiene calefacción y agua caliente central. Consta de suelo de tarima de elondo, puertas de sapeli, ventanas de madera climalit, techos altos, con 3 armarios empotrados y 1 vestidor. El edificio es de hormigón y tiene ascensor con acceso para minusválidos. Amplio piso para entrar a vivir sencillo ó reformarlo a tu gusto, con muchísimas posibilidades,  exterior, muy soleado y con parcela de garaje incluida en el precio. El piso se encuentra ubicado en zona llana, junto a todos los servicios: colegios, ambulatorio, supermercados, bancos.. . Tiene a mano las paradas de autobús, tranvía,  metro,  tren y termibus.  Está a dos pasos del centro de Bilbao,  al lado de espacio recreativo verde y tiene rápido acceso a la autovía.",Anuncio actualizado el 27 de febrero,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 4ª exterior,plaza de garaje incluida en el precio,1,,,40484616,Piso,,1,Bilbao,Distrito Indautxu," , Barrio Sabino Arana-Jesuitas , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Sabino Arana-Jesuitas,,"Gran Bilbao, Vizcaya",186,164,2019-03-31,,610000,0,4,0,0,1,
